"category","total_orders","total_items_sold","unique_products","unique_sellers","total_product_revenue","total_freight_revenue","total_revenue","average_item_price","average_review_score"
"agro_industry_and_commerce",182,212,74,34,72530.47,5843.60,78374.07,342.12,4.00
"air_conditioning",253,297,124,52,55024.96,6749.23,61774.19,185.27,3.97
"art",202,209,55,36,24202.64,4045.17,28247.81,115.80,3.94
"arts_and_craftmanship",23,24,19,13,1814.01,370.13,2184.14,75.58,4.13
"audio",350,364,58,36,50688.50,5710.44,56398.94,139.25,3.83
"auto",3897,4235,1900,383,592720.11,92664.21,685384.32,139.96,4.06
"baby",2885,3065,919,244,411764.89,68353.11,480118.00,134.34,4.01
"bed_bath_table",9417,11115,3029,196,1036988.68,204693.04,1241681.72,93.30,3.90
"books_general_interest",512,553,216,54,46856.88,9195.52,56052.40,84.73,4.45
"books_imported",53,60,31,7,4639.85,769.85,5409.70,77.33,4.40
"books_technical",260,267,123,26,19096.06,4283.06,23379.12,71.52,4.36
"cds_dvds_musicals",12,14,1,1,730.00,224.99,954.99,52.14,4.64
"christmas_supplies",128,153,65,17,8800.82,3229.30,12030.12,57.52,4.02
"cine_photo",65,72,28,14,6933.46,1256.20,8189.66,96.30,4.19
"computers",181,203,30,9,222963.13,9836.30,232799.43,1098.34,4.18
"computers_accessories",6689,7827,1639,287,911954.32,147318.08,1059272.40,116.51,3.93
"consoles_games",1062,1137,317,82,157465.22,19828.02,177293.24,138.49,4.02
"construction_tools_construction",748,929,400,128,144677.59,20650.41,165328.00,155.73,4.05
"construction_tools_lights",244,304,78,37,41080.00,7583.80,48663.80,135.13,4.05
"construction_tools_safety",167,194,91,35,40544.52,3919.10,44463.62,208.99,3.84
"cool_stuff",3632,3796,789,267,635290.85,84039.10,719329.95,167.36,4.15
"costruction_tools_garden",194,238,88,33,25715.89,5311.40,31027.29,108.05,4.05
"costruction_tools_tools",97,103,39,24,15903.95,2030.22,17934.17,154.41,4.44
"diapers_and_hygiene",27,39,12,8,1567.59,573.68,2141.27,40.19,3.26
"drinks",297,379,81,36,22428.70,5741.25,28169.95,59.18,4.04
"dvds_blu_ray",59,64,48,10,5999.39,1288.74,7288.13,93.74,4.08
"electronics",2550,2767,517,149,160246.74,46578.32,206825.06,57.91,4.04
"fashio_female_clothing",39,48,27,11,2803.64,621.75,3425.39,58.41,3.78
"fashion_bags_accessories",1864,2031,849,99,152823.54,31450.00,184273.54,75.25,4.15
"fashion_childrens_clothes",8,8,5,4,569.85,95.51,665.36,71.23,4.50
"fashion_male_clothing",112,132,95,13,10797.82,2152.41,12950.23,81.80,3.64
"fashion_shoes",240,262,173,15,23562.77,4918.87,28481.64,89.93,4.24
"fashion_sport",27,30,19,10,2119.51,578.13,2697.64,70.65,4.23
"fashion_underwear_beach",121,131,53,9,9541.55,1916.19,11457.74,72.84,3.98
"fixed_telephony",217,264,116,49,59583.00,4637.81,64220.81,225.69,3.68
"flowers",29,33,14,3,1110.04,488.87,1598.91,33.64,4.42
"food",450,510,82,58,29393.41,7271.03,36664.44,57.63,4.22
"food_drink",227,278,104,34,15179.48,4507.99,19687.47,54.60,4.31
"furniture_bedroom",95,109,45,23,20028.78,4632.23,24661.01,183.75,4.11
"furniture_decor",6449,8334,2657,370,729762.49,172749.30,902511.79,87.56,3.91
"furniture_living_room",422,503,156,56,68916.56,17968.17,86884.73,137.01,3.90
"furniture_mattress_and_upholstery",38,38,10,5,4368.08,1630.46,5998.54,114.95,3.82
"garden_tools",3518,4347,753,237,485256.46,98962.75,584219.21,111.63,4.05
"health_beauty",8836,9670,2444,492,1258681.34,182566.73,1441248.07,130.16,4.14
"home_appliances",764,771,370,48,80171.53,14818.90,94990.43,103.98,4.17
"home_appliances_2",234,238,90,46,113317.74,10600.18,123917.92,476.12,4.14
"home_comfort_2",24,30,5,4,760.27,410.31,1170.58,25.34,3.63
"home_confort",397,434,111,20,58572.04,8501.23,67073.27,134.96,3.83
"home_construction",490,604,225,68,83088.12,13832.24,96920.36,137.56,3.94
"housewares",5884,6964,2335,468,632248.66,146149.11,778397.77,90.79,4.05
"industry_commerce_and_business",235,268,68,29,39669.61,7884.68,47554.29,148.02,4.10
"kitchen_dining_laundry_garden_furniture",248,281,94,52,46328.37,11999.43,58327.80,164.87,3.97
"la_cuisine",13,14,10,2,2054.99,333.55,2388.54,146.79,4.00
"luggage_accessories",1034,1092,349,73,140429.98,30445.23,170875.21,128.60,4.32
"market_place",280,311,104,59,28378.47,5456.06,33834.53,91.25,4.02
"music",38,38,27,19,6034.35,690.51,6724.86,158.80,4.21
"musical_instruments",628,680,289,70,191498.88,18638.49,210137.37,281.62,4.15
"office_furniture",1273,1691,309,34,273960.70,68571.95,342532.65,162.01,3.49
"party_supplies",39,43,26,12,4485.18,827.97,5313.15,104.31,3.77
"pc_gamer",8,9,3,2,1545.95,133.57,1679.52,171.77,3.33
"perfumery",3162,3419,868,175,399124.87,54213.84,453338.71,116.74,4.17
"pet_shop",1710,1947,719,137,214315.41,39561.24,253876.65,110.07,4.18
"portateis_cozinha_e_preparadores_de_alimentos",14,15,10,5,3968.53,309.76,4278.29,264.57,3.27
"security_and_services",2,2,2,2,283.29,41.22,324.51,141.65,2.50
"signaling_and_security",140,199,93,46,21509.23,6507.82,28017.05,108.09,4.09
"small_appliances",630,679,231,105,190648.58,16020.25,206668.83,280.78,4.15
"small_appliances_home_oven_and_coffee",75,76,31,15,47445.71,2747.86,50193.57,624.29,4.30
"sports_leisure",7720,8641,2867,481,988048.97,168607.51,1156656.48,114.34,4.11
"stationery",2311,2517,849,173,230943.23,46798.48,277741.71,91.75,4.20
"tablets_printing_image",79,83,9,6,7528.41,1226.20,8754.61,90.70,4.12
"telephony",4199,4545,1134,149,323667.53,71215.79,394883.32,71.21,3.95
"toys",3886,4117,1411,252,483946.60,77425.95,561372.55,117.55,4.16
"unknown",1451,1603,610,257,179535.28,28169.81,207705.09,112.00,3.84
"watches_gifts",5624,5991,1329,101,1205005.68,100535.93,1305541.61,201.14,4.02
